Name,Phone,Crop_Type,Crop_Area,Season,Location,Farm_Scale,Region
Adeel Bhatti,0300-3432445,wheat,36,Both,Larkana,Medium,Sindh
Faisal Gondal,0304-6060715,cotton,83,Both,Vehari,Large,Punjab
Arsalan Dogar,0346-7516136,cotton,77,Kharif,Okara,Large,Punjab
Asif Choudhary,0337-1883552,wheat,14,Rabi,Multan,Medium,Punjab
Imran Sheikh,0347-7799799,wheat,45,Both,Bahawalpur,Medium,Punjab
Haroon Rehman,0344-0581477,wheat,28,Rabi,Sukkur,Medium,Sindh
Zainab Tarar,0334-9807935,cotton,74,Both,Lahore,Large,Punjab
Junaid Jatoi,0337-2037788,cotton,56,Both,Okara,Large,Punjab
Saeed Bhatti,0347-5151864,wheat,47,Both,Mardan,Medium,KPK
Zafar Gondal,0320-6291486,cotton,52,Kharif,Khairpur,Large,Sindh
Nazia Jatoi,0348-6850542,canola,13,Both,Charsadda,Medium,KPK
Sadia Choudhary,0318-1888059,wheat,29,Rabi,Multan,Medium,Punjab
Asif Laghari,0302-6537947,wheat,20,Rabi,Bahawalpur,Medium,Punjab
Akram Laghari,0334-4688623,sugarcane,13,Kharif,Peshawar,Medium,KPK
Farah Shah,0340-1412478,wheat,32,Rabi,Sahiwal,Medium,Punjab
Fatima Junejo,0303-6853615,wheat,25,Rabi,Swabi,Medium,KPK
Babar Yousafzai,0308-7790104,wheat,14,Rabi,Gujranwala,Medium,Punjab
Babar Qureshi,0320-1036971,wheat,36,Rabi,Lahore,Medium,Punjab
Zafar Lodhi,0332-0953962,cotton,20,Both,Pakpattan,Medium,Punjab
Shahid Ahmed,0325-7065405,sugarcane,27,Kharif,Faisalabad,Medium,Punjab
Junaid Butt,0302-5852772,sugarcane,9,Both,Nawabshah,Small,Sindh
Fawad Malik,0321-4868740,sugarcane,17,Kharif,Lahore,Medium,Punjab
Bilal Lashari,0332-6765277,rice,28,Kharif,Faisalabad,Medium,Punjab
Saeed Sheikh,0341-4511544,rice,25,Kharif,Bahawalpur,Medium,Punjab
Hamza Talpur,0317-0165820,wheat,43,Both,Nawabshah,Medium,Sindh
Waseem Lashari,0325-9092755,rice,5,Kharif,Rahim Yar Khan,Small,Punjab
Shehzad Qureshi,0307-0278681,wheat,21,Rabi,Larkana,Medium,Sindh
Kashif Khokhar,0307-2172715,cotton,100,Both,Rahim Yar Khan,Large,Punjab
Asif Sheikh,0324-8313237,wheat,40,Rabi,Bahawalpur,Medium,Punjab
Arshad Jatoi,0304-4678669,wheat,25,Rabi,Nawabshah,Medium,Sindh
Kamran Sheikh,0308-6801824,wheat,25,Both,Mardan,Medium,KPK
Bushra Jatoi,0316-3842498,wheat,46,Both,Gujranwala,Medium,Punjab
Saeed Warraich,0343-0010943,sugarcane,31,Kharif,Sukkur,Medium,Sindh
Babar Wattoo,0335-3647102,rice,18,Kharif,Pakpattan,Medium,Punjab
Arsalan Gondal,0330-2588153,rice,11,Both,Multan,Medium,Punjab
Irfan Junejo,0315-2595327,tobacco,8,Rabi,Okara,Small,Punjab
Adeel Abbasi,0315-3950047,cotton,93,Both,Hyderabad,Large,Sindh
Zahid Butt,0316-5650609,cotton,56,Both,Faisalabad,Large,Punjab
Nadeem Rehman,0346-9121655,cotton,56,Kharif,Larkana,Large,Sindh
Ali Malik,0302-2578729,maize,6,Kharif,Gujranwala,Small,Punjab
Arshad Wattoo,0344-5888794,rice,3,Kharif,Faisalabad,Small,Punjab
Ahmad Yousafzai,0316-9930972,rice,26,Both,Nawabshah,Medium,Sindh
Ali Nawaz,0312-0756263,rice,27,Kharif,Nawabshah,Medium,Sindh
Tariq Butt,0340-3857865,canola,17,Rabi,Swabi,Medium,KPK
Yasir Yousafzai,0312-3484344,sugarcane,36,Kharif,Pakpattan,Medium,Punjab
Humaira Rehman,0318-1986652,wheat,23,Both,Peshawar,Medium,KPK
Yasir Yousafzai,0313-3848421,cotton,85,Kharif,Lahore,Large,Punjab
Faisal Bhatti,0306-6571208,canola,8,Rabi,Bahawalpur,Small,Punjab
Babar Cheema,0318-0193802,rice,29,Kharif,Lahore,Medium,Punjab
Kashif Sheikh,0318-0049915,wheat,46,Rabi,Bahawalpur,Medium,Punjab
Shahid Abbasi,0317-3152742,wheat,26,Rabi,Mirpur Khas,Medium,Sindh
Arshad Mahar,0332-8516122,rice,10,Both,Vehari,Medium,Punjab
Junaid Wattoo,0344-9045301,rice,8,Kharif,Rahim Yar Khan,Small,Punjab
Bushra Nawaz,0347-4593327,wheat,43,Rabi,Rahim Yar Khan,Medium,Punjab
Naveed Qureshi,0345-1878519,wheat,40,Rabi,Mardan,Medium,KPK
Arsalan Laghari,0307-3971870,rice,19,Both,Gujranwala,Medium,Punjab
Haroon Ahmed,0330-4039106,wheat,9,Rabi,Lahore,Small,Punjab
Farhan Malik,0318-6226567,maize,14,Both,Rahim Yar Khan,Medium,Punjab
Amina Sheikh,0341-6823004,rice,26,Kharif,Rahim Yar Khan,Medium,Punjab
Noman Gondal,0309-4310690,wheat,9,Rabi,Lahore,Small,Punjab
Tariq Qureshi,0302-6738302,rice,12,Both,Gujranwala,Medium,Punjab
Arsalan Qureshi,0320-2836440,cotton,85,Kharif,Mardan,Large,KPK
Kashif Bhatti,0323-6856624,rice,27,Kharif,Sahiwal,Medium,Punjab
Zafar Abbasi,0303-8668826,wheat,18,Rabi,Faisalabad,Medium,Punjab
Sajid Khokhar,0303-4699013,sugarcane,40,Kharif,Sahiwal,Medium,Punjab
Muhammad Gill,0312-1739363,cotton,46,Kharif,Rahim Yar Khan,Medium,Punjab
Waseem Khattak,0334-1753556,wheat,19,Both,Sukkur,Medium,Sindh
Anum Junejo,0318-2353693,rice,23,Both,Swabi,Medium,KPK
Kashif Abbasi,0310-5228728,tobacco,1,Rabi,Faisalabad,Small,Punjab
Muhammad Junejo,0308-3120387,rice,22,Kharif,Mirpur Khas,Medium,Sindh
Ahmad Khan,0341-8600848,canola,3,Rabi,Vehari,Small,Punjab
Amina Shah,0340-2339845,wheat,30,Rabi,Vehari,Medium,Punjab
Faisal Wattoo,0305-0166687,wheat,5,Rabi,Sukkur,Small,Sindh
Junaid Shah,0340-0339740,sunflower,12,Both,Peshawar,Medium,KPK
Fatima Gill,0344-2614293,cotton,59,Both,Mirpur Khas,Large,Sindh
Kamran Jatoi,0337-5016315,cotton,88,Kharif,Charsadda,Large,KPK
Shehzad Laghari,0336-3586629,cotton,20,Kharif,Hyderabad,Medium,Sindh
Sajid Rehman,0309-6265511,wheat,24,Both,Okara,Medium,Punjab
Zahid Laghari,0342-8861015,cotton,86,Kharif,Pakpattan,Large,Punjab
Sohail Tarar,0305-8398262,wheat,24,Both,Multan,Medium,Punjab
Sohail Wattoo,0335-1543799,wheat,11,Rabi,Lahore,Medium,Punjab
Arshad Tarar,0322-7569245,cotton,98,Both,Pakpattan,Large,Punjab
Arsalan Lodhi,0347-7935646,rice,21,Both,Rahim Yar Khan,Medium,Punjab
Ahmad Abbasi,0313-7416724,wheat,47,Rabi,Vehari,Medium,Punjab
Saeed Yousafzai,0344-6886805,sugarcane,39,Both,Faisalabad,Medium,Punjab
Hamza Dogar,0348-9096561,wheat,21,Rabi,Rahim Yar Khan,Medium,Punjab
Faisal Laghari,0324-6798250,rice,12,Both,Faisalabad,Medium,Punjab
Sadia Gondal,0320-5738757,wheat,49,Both,Faisalabad,Medium,Punjab
Bilal Ahmed,0322-1238282,wheat,32,Rabi,Mardan,Medium,KPK
Rizwan Talpur,0330-0937966,wheat,18,Rabi,Faisalabad,Medium,Punjab
Rashid Sheikh,0324-5371478,canola,13,Rabi,Gujranwala,Medium,Punjab
Hamza Abbasi,0346-2499125,wheat,24,Rabi,Pakpattan,Medium,Punjab
Sohail Butt,0343-6627828,wheat,23,Rabi,Pakpattan,Medium,Punjab
Hamza Khan,0336-2368876,cotton,63,Both,Nawabshah,Large,Sindh
Ahmad Mughal,0318-0438427,cotton,73,Both,Faisalabad,Large,Punjab
Rashid Lashari,0341-0783613,wheat,7,Rabi,Pakpattan,Small,Punjab
Bilal Qureshi,0313-9596292,sugarcane,18,Kharif,Mirpur Khas,Medium,Sindh
Rashid Dogar,0321-4494812,canola,16,Rabi,Swabi,Medium,KPK
Kamran Qureshi,0309-5367294,cotton,58,Both,Faisalabad,Large,Punjab
Waseem Abbasi,0336-5901751,sugarcane,30,Kharif,Vehari,Medium,Punjab
Arsalan Lodhi,0322-8929750,wheat,45,Both,Nawabshah,Medium,Sindh
Maryam Laghari,0334-0632424,wheat,28,Rabi,Pakpattan,Medium,Punjab
Tariq Mahar,0347-4361103,rice,7,Kharif,Rahim Yar Khan,Small,Punjab
Junaid Nawaz,0332-2713611,wheat,28,Rabi,Mardan,Medium,KPK
Kamran Gujjar,0304-8909275,sugarcane,14,Kharif,Charsadda,Medium,KPK
Usman Butt,0307-9656523,wheat,10,Rabi,Gujranwala,Medium,Punjab
Ahmad Wattoo,0313-8983640,sugarcane,20,Both,Faisalabad,Medium,Punjab
Imran Khan,0324-5269658,cotton,70,Both,Peshawar,Large,KPK
Yasir Gill,0302-0684866,sugarcane,10,Kharif,Mirpur Khas,Medium,Sindh
Haroon Jatoi,0337-3285691,wheat,32,Both,Larkana,Medium,Sindh
Zahid Nawaz,0334-9904210,sugarcane,5,Kharif,Pakpattan,Small,Punjab
Yasir Dogar,0324-2410564,rice,11,Kharif,Mirpur Khas,Medium,Sindh
Shahid Lashari,0303-7925241,maize,5,Both,Rahim Yar Khan,Small,Punjab
Fatima Qureshi,0302-7562208,sugarcane,31,Kharif,Sahiwal,Medium,Punjab
Shehzad Choudhary,0343-5180238,tobacco,7,Rabi,Bahawalpur,Small,Punjab
Haroon Cheema,0305-8705349,sugarcane,20,Kharif,Gujranwala,Medium,Punjab
Sana Qureshi,0309-0603850,canola,3,Rabi,Nawabshah,Small,Sindh
Usman Gill,0340-3670241,wheat,19,Rabi,Charsadda,Medium,KPK
Sajid Shah,0337-2619906,cotton,26,Kharif,Okara,Medium,Punjab
Shazia Cheema,0321-7431329,wheat,11,Both,Bahawalpur,Medium,Punjab
Hamza Gill,0333-4741124,maize,3,Both,Pakpattan,Small,Punjab
Hamza Mahar,0337-0442067,cotton,80,Both,Bahawalpur,Large,Punjab
Bilal Khan,0303-3236519,cotton,19,Both,Faisalabad,Medium,Punjab
Kamran Jatoi,0322-1070296,maize,14,Kharif,Vehari,Medium,Punjab
Naveed Sheikh,0317-4720999,wheat,23,Rabi,Rahim Yar Khan,Medium,Punjab
Irfan Butt,0331-3838065,rice,28,Kharif,Gujranwala,Medium,Punjab
Rizwan Ahmed,0321-9304078,rice,21,Both,Mardan,Medium,KPK
Shehzad Bhatti,0314-9652239,wheat,49,Both,Gujranwala,Medium,Punjab
Akram Gujjar,0343-3784270,wheat,19,Rabi,Sukkur,Medium,Sindh
Arshad Khokhar,0308-5250029,sugarcane,14,Kharif,Mirpur Khas,Medium,Sindh
Kiran Mahar,0344-1545226,sugarcane,36,Kharif,Larkana,Medium,Sindh
Arshad Gondal,0314-9264422,sugarcane,30,Both,Peshawar,Medium,KPK
Arshad Mughal,0347-9172513,wheat,25,Rabi,Faisalabad,Medium,Punjab
Junaid Laghari,0300-4331541,sugarcane,8,Kharif,Vehari,Small,Punjab
Sidra Tarar,0323-8617932,rice,28,Both,Hyderabad,Medium,Sindh
Usman Choudhary,0322-2621815,cotton,88,Both,Peshawar,Large,KPK
Saeed Talpur,0310-0153368,sugarcane,39,Both,Okara,Medium,Punjab
Adeel Khattak,0309-0506149,rice,6,Kharif,Multan,Small,Punjab
Sidra Nawaz,0320-6774186,wheat,29,Both,Bahawalpur,Medium,Punjab
Yasir Mughal,0317-9021158,rice,27,Both,Rahim Yar Khan,Medium,Punjab
Jamil Junejo,0341-7937416,sunflower,13,Rabi,Gujranwala,Medium,Punjab
Arshad Gujjar,0307-7223320,rice,24,Kharif,Multan,Medium,Punjab
Imran Jatoi,0325-8685487,sunflower,2,Rabi,Mirpur Khas,Small,Sindh
Bilal Junejo,0309-2999119,sugarcane,23,Kharif,Swabi,Medium,KPK
Kashif Yousafzai,0302-2462996,wheat,26,Rabi,Sukkur,Medium,Sindh
Kiran Ahmed,0322-4447132,wheat,33,Both,Hyderabad,Medium,Sindh
Sajid Khokhar,0333-3678508,sugarcane,9,Kharif,Rahim Yar Khan,Small,Punjab
Jamil Ahmed,0311-3303070,sunflower,13,Rabi,Pakpattan,Medium,Punjab
Bilal Ahmed,0315-5797279,cotton,54,Kharif,Okara,Large,Punjab
Babar Ahmed,0325-0293333,wheat,31,Rabi,Lahore,Medium,Punjab
Rizwan Khan,0314-4944665,rice,9,Kharif,Rahim Yar Khan,Small,Punjab
Usman Khan,0337-5899441,rice,13,Kharif,Swabi,Medium,KPK
Haroon Khokhar,0309-8309652,sugarcane,36,Kharif,Swabi,Medium,KPK
Ali Khokhar,0322-3875842,maize,19,Kharif,Faisalabad,Medium,Punjab
Nadeem Sheikh,0322-1353465,rice,21,Kharif,Faisalabad,Medium,Punjab
Anum Choudhary,0335-3816846,wheat,14,Both,Sahiwal,Medium,Punjab
Iqra Gujjar,0321-2175250,wheat,22,Rabi,Multan,Medium,Punjab
Sajid Butt,0346-6666760,wheat,17,Rabi,Sukkur,Medium,Sindh
Jamil Khokhar,0301-0335421,rice,21,Kharif,Faisalabad,Medium,Punjab
Babar Abbasi,0340-9856257,rice,9,Both,Vehari,Small,Punjab
Kamran Gill,0301-9821506,maize,10,Both,Mirpur Khas,Medium,Sindh
Nazia Shah,0348-0016761,rice,18,Kharif,Larkana,Medium,Sindh
Haroon Junejo,0349-1849926,maize,5,Both,Gujranwala,Small,Punjab
Usman Khattak,0312-9348356,wheat,7,Rabi,Sahiwal,Small,Punjab
Majid Khan,0300-1197218,wheat,11,Rabi,Mardan,Medium,KPK
Noreen Abbasi,0303-1204556,sugarcane,11,Both,Peshawar,Medium,KPK
Asif Warraich,0323-7941552,wheat,30,Rabi,Swabi,Medium,KPK
Farhan Junejo,0348-2120216,sunflower,9,Rabi,Khairpur,Small,Sindh
Hamza Ahmed,0308-7716701,wheat,25,Rabi,Rahim Yar Khan,Medium,Punjab
Akram Mughal,0349-5889163,rice,24,Both,Nawabshah,Medium,Sindh
Arshad Bhatti,0300-2877217,wheat,26,Rabi,Peshawar,Medium,KPK
Irfan Mahar,0315-1779717,rice,6,Both,Peshawar,Small,KPK
Nadeem Khan,0305-9948837,canola,14,Rabi,Larkana,Medium,Sindh
Arshad Yousafzai,0349-5711305,rice,23,Kharif,Swabi,Medium,KPK
Usman Malik,0310-7261493,wheat,30,Rabi,Sahiwal,Medium,Punjab
Sohail Malik,0347-9177982,canola,3,Rabi,Lahore,Small,Punjab
Iqbal Yousafzai,0337-2922169,cotton,51,Both,Vehari,Large,Punjab
Majid Rehman,0330-5472269,sugarcane,37,Kharif,Rahim Yar Khan,Medium,Punjab
Nadeem Gill,0312-3945228,rice,23,Kharif,Faisalabad,Medium,Punjab
Iqbal Junejo,0341-4608106,wheat,47,Rabi,Okara,Medium,Punjab
Babar Bajwa,0309-0438057,wheat,48,Rabi,Larkana,Medium,Sindh
Majid Lodhi,0349-0666580,wheat,21,Rabi,Bahawalpur,Medium,Punjab
Mehwish Lashari,0344-8933472,tobacco,2,Rabi,Multan,Small,Punjab
Ali Talpur,0317-8422940,wheat,50,Both,Peshawar,Medium,KPK
Tariq Wattoo,0336-9851583,canola,19,Both,Rahim Yar Khan,Medium,Punjab
Adeel Jatoi,0323-3355543,canola,19,Rabi,Rahim Yar Khan,Medium,Punjab
Fatima Nawaz,0349-5739930,cotton,51,Both,Faisalabad,Large,Punjab
Babar Ahmed,0340-5887704,maize,8,Kharif,Faisalabad,Small,Punjab
Rashid Khan,0347-1336138,maize,15,Kharif,Sukkur,Medium,Sindh
Noman Warraich,0302-1102481,cotton,39,Kharif,Charsadda,Medium,KPK
Zahid Cheema,0301-6180919,wheat,9,Both,Rahim Yar Khan,Small,Punjab
Haroon Jatoi,0318-7660728,wheat,30,Both,Mirpur Khas,Medium,Sindh
Haroon Lashari,0300-8821009,cotton,78,Both,Faisalabad,Large,Punjab
Hamza Gill,0331-8222394,wheat,16,Rabi,Mirpur Khas,Medium,Sindh
Farah Abbasi,0348-8141413,sugarcane,36,Both,Swabi,Medium,KPK
Usman Lodhi,0346-1357759,cotton,98,Both,Gujranwala,Large,Punjab
Zahid Dogar,0300-5336452,cotton,52,Both,Charsadda,Large,KPK
Kashif Shah,0311-9142834,sugarcane,9,Kharif,Sukkur,Small,Sindh
Iqbal Mahar,0344-3084887,cotton,29,Kharif,Sahiwal,Medium,Punjab
Babar Butt,0334-8816580,cotton,88,Both,Mirpur Khas,Large,Sindh
Akram Gujjar,0335-5037314,rice,4,Kharif,Mirpur Khas,Small,Sindh
Farhan Abbasi,0302-0518449,rice,8,Kharif,Vehari,Small,Punjab
Imran Bajwa,0325-3865577,maize,2,Kharif,Multan,Small,Punjab
Shahid Rehman,0313-2225913,rice,13,Kharif,Nawabshah,Medium,Sindh
Iqbal Dogar,0348-6030299,wheat,45,Both,Gujranwala,Medium,Punjab
Rizwan Mahar,0345-9041379,tobacco,8,Rabi,Vehari,Small,Punjab
Rizwan Bajwa,0310-5799136,rice,6,Kharif,Rahim Yar Khan,Small,Punjab
Sohail Gujjar,0345-1279908,rice,6,Kharif,Multan,Small,Punjab
Muhammad Talpur,0340-6508637,sugarcane,29,Both,Gujranwala,Medium,Punjab
Farhan Mughal,0305-4986430,sugarcane,5,Kharif,Faisalabad,Small,Punjab
Naveed Cheema,0331-5126944,maize,15,Both,Gujranwala,Medium,Punjab
Naveed Junejo,0342-8725887,wheat,24,Rabi,Vehari,Medium,Punjab
Nazia Nawaz,0314-7213865,sugarcane,8,Kharif,Lahore,Small,Punjab
Farhan Talpur,0305-1435190,sugarcane,30,Both,Mirpur Khas,Medium,Sindh
Aisha Sheikh,0347-7703843,wheat,43,Rabi,Sahiwal,Medium,Punjab
Waseem Qureshi,0348-0214656,rice,9,Kharif,Faisalabad,Small,Punjab
Nadeem Gondal,0323-4393769,wheat,16,Rabi,Faisalabad,Medium,Punjab
Junaid Nawaz,0337-4894769,rice,10,Kharif,Nawabshah,Medium,Sindh
Fatima Yousafzai,0307-4163356,canola,19,Both,Okara,Medium,Punjab
Junaid Choudhary,0342-2755394,wheat,48,Rabi,Mardan,Medium,KPK
Majid Bajwa,0313-3339521,wheat,10,Rabi,Khairpur,Medium,Sindh
Rashid Malik,0335-5957947,wheat,37,Rabi,Sahiwal,Medium,Punjab
Jamil Talpur,0335-8085627,canola,19,Both,Lahore,Medium,Punjab
Iqbal Shah,0321-5942843,wheat,44,Rabi,Multan,Medium,Punjab
Waseem Lashari,0330-4729293,sugarcane,22,Kharif,Mirpur Khas,Medium,Sindh
Zafar Gujjar,0335-0267288,sugarcane,36,Kharif,Rahim Yar Khan,Medium,Punjab
Usman Dogar,0303-3471754,rice,20,Both,Okara,Medium,Punjab
Hamza Khokhar,0343-9824558,rice,26,Kharif,Faisalabad,Medium,Punjab
Zafar Dogar,0347-5699611,wheat,19,Rabi,Okara,Medium,Punjab
Adeel Rehman,0333-5987622,maize,6,Kharif,Khairpur,Small,Sindh
Sajid Gill,0310-6111780,wheat,30,Both,Faisalabad,Medium,Punjab
Sajid Tarar,0320-3347228,maize,2,Kharif,Pakpattan,Small,Punjab
Farhan Abbasi,0341-4872829,cotton,90,Both,Mirpur Khas,Large,Sindh
Rashid Wattoo,0323-7831745,rice,7,Kharif,Lahore,Small,Punjab
Kamran Gondal,0318-7807740,sugarcane,23,Kharif,Lahore,Medium,Punjab
Nadeem Talpur,0330-3266341,rice,10,Kharif,Gujranwala,Medium,Punjab
Babar Rehman,0331-3122417,cotton,44,Both,Nawabshah,Medium,Sindh
Tariq Ahmed,0311-1442703,wheat,5,Rabi,Pakpattan,Small,Punjab
Kashif Lashari,0334-0512046,wheat,35,Rabi,Okara,Medium,Punjab
Bilal Qureshi,0325-7303718,cotton,36,Kharif,Okara,Medium,Punjab
Ali Nawaz,0316-7435031,wheat,32,Rabi,Multan,Medium,Punjab
Adeel Qureshi,0300-0979251,wheat,36,Both,Gujranwala,Medium,Punjab
Ayesha Bhatti,0303-5281273,wheat,40,Rabi,Hyderabad,Medium,Sindh
Fawad Ahmed,0325-5240778,wheat,49,Both,Gujranwala,Medium,Punjab
Noman Rehman,0345-8218274,sugarcane,39,Kharif,Lahore,Medium,Punjab
Rizwan Ahmed,0346-5935186,wheat,48,Both,Rahim Yar Khan,Medium,Punjab
